model_id,model_name,unique_activities,category
e8990a10f516495e89a1eabf9627b9e9,Employee Onboarding,"['Procure work equipment', 'Add personal data', 'Set up access rights, hardware and software', 'Select necessary work equipment']",Develop and Manage Human Capital
e89a9255406a491cab3bd827a043dd28,Checkout Tianen Jane Doe,"['Scan items and Identify Payment method', 'Bag items', 'Process credit card', 'Accept Cash']",Manage Customer Service
e89e0c0e06c440e2a006c32d1d25e3f7,Pay,"['Fill in bank transfer Info', 'Fill in Paypal Info', 'Fill in Credit Card Info', 'Receive Receipt', 'Pay']",Manage Financial Resources
e8a0fe270519408f9df49651977afc8e,Exercise 2,"['statements received', 'Statement from the witness']",Other
e8a31cb70a6546b187326a111db648fe,Handle PDF,"['Sign document', 'Send documents by post', 'Download document']",Other
e8a4b883dcda4483960f3ff24f3bbeda,Figure 3.12_Jane Doe,"['Obtain raw materials from Supplier', 'Check raw materials availability', 'Get shipment address', 'Confirm order', 'Ship product', 'Receive payment', 'Manufacture product', 'Emit invoice', 'Check stock availability', 'Retrieve product from warehouse', 'Request raw materials from Supplier', 'Archive order']",Deliver Physical Products
e8a4e2d3a8bf46eb884e7a6518d4efb7,W4-P2[GO FOR VACATION],"['CHOOSE DESTINATION', 'BOOK TRIP', 'PACK SUITCASES']",Other
e8a997b7747d40e0b2c7e0c3716f25f8,W1-P2(SELECTIVE)(EXAMPLE),"['GET READY TO SCHOOL', 'DRIVE TO SCHOOL', 'GO STRAIGHT TO CLS ROOM', 'CYCLE TO SCHOOL']",Other
e8af4e14cdf14367b85b270119a7a88a,W6G3.P1(TIMER)(V2),"['PACK SUIT CASES', 'BOOK TRIP', 'CHOOSE DESTINATION']",Other
e8b05b09010a4c7babb39613534526f0,As Is Model,"['Create purchase order', 'Approve request form', 'Pay vendor invoice', 'Receive requested goods']",Deliver Physical Products
e8b10b7934264dd1b87ae81f9e4ae627,12345678,"['Consolidate Orders', 'Check A/R Payment', 'Order Supplies', 'Validate Supplies']",Manage Financial Resources
