model_id,model_name,unique_activities,category
e8990a10f516495e89a1eabf9627b9e9,Employee Onboarding,"['Select necessary work equipment', 'Procure work equipment', 'Add personal data', 'Set up access rights, hardware and software']",Other
e89a9255406a491cab3bd827a043dd28,Checkout Tianen Jane Doe,"['Process credit card', 'Bag items', 'Scan items and Identify Payment method', 'Accept Cash']",Retail
e89e0c0e06c440e2a006c32d1d25e3f7,Pay,"['Fill in bank transfer Info', 'Receive Receipt', 'Fill in Credit Card Info', 'Pay', 'Fill in Paypal Info']",Banking
e8a0fe270519408f9df49651977afc8e,Exercise 2,"['statements received', 'Statement from the witness']",Other
e8a31cb70a6546b187326a111db648fe,Handle PDF,"['Download document', 'Send documents by post', 'Sign document']",Other
e8a4b883dcda4483960f3ff24f3bbeda,Figure 3.12_Jane Doe,"['Obtain raw materials from Supplier', 'Receive payment', 'Request raw materials from Supplier', 'Retrieve product from warehouse', 'Check stock availability', 'Check raw materials availability', 'Archive order', 'Get shipment address', 'Emit invoice', 'Manufacture product', 'Confirm order', 'Ship product']",Industrial manufacturing
e8a4e2d3a8bf46eb884e7a6518d4efb7,W4-P2[GO FOR VACATION],"['BOOK TRIP', 'CHOOSE DESTINATION', 'PACK SUITCASES']",Travel and transportation
e8a997b7747d40e0b2c7e0c3716f25f8,W1-P2(SELECTIVE)(EXAMPLE),"['CYCLE TO SCHOOL', 'DRIVE TO SCHOOL', 'GO STRAIGHT TO CLS ROOM', 'GET READY TO SCHOOL']",Other
e8af4e14cdf14367b85b270119a7a88a,W6G3.P1(TIMER)(V2),"['Task', 'BOOK TRIP', 'PACK SUIT CASES', 'CHOOSE DESTINATION']",Travel and transportation
e8b05b09010a4c7babb39613534526f0,As Is Model,"['Pay vendor invoice', 'Receive requested goods', 'Create purchase order', 'Approve request form']",Other
e8b10b7934264dd1b87ae81f9e4ae627,12345678,"['Order Supplies', 'Validate Supplies', 'Consolidate Orders', 'Check A/R Payment']",Other
e8b38c6a696548f39d75896cd473101e,Tank planning process ON DEMAND,"['Communication of the distribution plan to Ls', 'Driver prints the Proof of Delivery', 'Receive the tank', 'Creation of the order', 'Customer send an order to the Customer Contacts centre', 'Loading the order into TMS', 'Creation of the route-plan', 'Driver deliver the tank', 'Receive data from the TMS', 'Approval of the distribution plan']","Oil, gas, and energy"
e8b53b079e804658b3f9070f8b918f38,LAB1,"['Archive Order', 'Confirm the order', 'Check PO against Inventory', 'Emit Invoice and Ship goods', 'Reject Order']",Logistics/Wholesale distribution
e8b6d5ad7e9a4d38b9d54aea21b90b43,Figure 3.12: Jane Doe,"['Receive payment', 'Check stock availability', 'Receive product from warehouse', 'Archive order', 'Get shipment address', 'Emit invoice', 'Confirm order', 'Ship product']",Retail
e8b987d82faf40bf9b98847b4bb255c4,Calculate GPA,"['Mark documents', 'Assess documents', 'Tally Marks']",Higher education and research
e8bb5ca00eed4af99615dfd0af4724ef,Checkout Delgado,"['Accept Payment', 'Scan items and Identify Payment Method', 'Bag Items']",Retail
e8bcb42c07564fcda69b50f5d81902ef,Z Cheddr Accounting BPMN,"['Summarizes sales and other detail data', 'Prepare financial statements for each store', 'Inform Mr. with the financial reports', 'Prepare monthly comparison', 'Check Item Amount Extension']",Other
e8c26da1669142b083a0e3a999e452f9,strict_policy,"['refund defined', 'no refund', 'refund of cleaning fee and room costs, but not service fee', 'Cancellation- Fee']",Travel and transportation
e8cbf4c4eb624f589abc76561c9e6d5c,2. Workflow Testing,"['Is there need for test among employees?', 'Determine if the new changes and activities requires testing of behavioral change', 'Plan Test', 'Is there need for test among end-users?']",Other
e8cc3cc11096482489cda18f45e35ccf,Ec. 2,"['Retrieves report', 'Final decision', 'Compose files', 'Calculates initial claims estimate', 'Create an action plan', 'Negotiation with customer', 'Updates claim file with the decision']",Insurance
e8cf8bf1d00647fb82c34961d40da5b7,6.Process payment and reviews,"['Approve payment', 'Request for reviews', 'Receive reviews', 'Make review']",Other
